site_id,station_name,latitude,longitude,drainage_area,state,county,data_source
USGS-IL_EPA-BE-21,EMBARRAS RIVER,39.99587,-88.20835,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-23,EMBARRAS RIVER,39.6813556,-88.040491,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-24,EMBARRAS RIVER,38.7180556,-87.669166,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-25,EMBARRAS RIVER,39.9363889,-88.191111,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-26,EMBARRAS RIVER,39.6916667,-88.035833,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-27,EMBARRAS RIVER,39.6813889,-88.040555,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-29,EMBARRAS RIVER,39.4405556,-88.157222,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-30,EMBARRAS RIVER,39.4202778,-88.1775,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-31,EMBARRAS RIVER,39.2375,-88.186111,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-32,EMBARRAS RIVER,38.8711111,-87.907777,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-33,EMBARRAS RIVER,38.7241667,-87.665277,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-34,EMBARRAS RIVER,38.7286111,-87.664722,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-35,EMBARRAS RIVER,38.9944444,-88.156388,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-36,EMBARRAS RIVER,39.0530556,-88.180833,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-96,EMBARRAS RIVER,39.45714,-88.14699,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-97,EMBARRAS RIVER,38.74917,-87.70921,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-98,EMBARRAS RIVER,39.83207,-88.16019,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-99,EMBARRAS RIVER,38.99596,-88.16306,,,,embarrass-station.xlsx
USGS-IL_EPA-BEA-01,MUDDY CREEK-SOUTH,38.77038,-87.75994,,,,embarrass-station.xlsx
USGS-IL_EPA-BEA-SU-C2,MUDDY CREEK-SOUTH,38.7224,-87.8554,,,,embarrass-station.xlsx
USGS-IL_EPA-BEA-SU-C3,MUDDY CREEK-SOUTH,38.7318,-87.8592,,,,embarrass-station.xlsx
USGS-IL_EPA-BEA-SU-C4,MUDDY CREEK-SOUTH,38.7474,-87.8526,,,,embarrass-station.xlsx
USGS-IL_EPA-BEAA-01,THE SLOUGH,38.7895,-87.81059,,,,embarrass-station.xlsx
USGS-IL_EPA-BEAB-01,PAUL CREEK,38.76931,-87.86595,,,,embarrass-station.xlsx
USGS-IL_EPA-BEAC-SU-C1,SHIRLEY CREEK,38.7206,-87.8566,,,,embarrass-station.xlsx
USGS-IL_EPA-BEAC-SU-E1,SHIRLEY CREEK,38.7193,-87.8623,,,,embarrass-station.xlsx
USGS-IL_EPA-BEB-01,BRUSHY CREEK,38.79093,-87.70316,,,,embarrass-station.xlsx
USGS-IL_EPA-BEB-02,BRUSHY CREEK,38.88222,-87.66126,,,,embarrass-station.xlsx
USGS-IL_EPA-BEB-03,BRUSHY CREEK,38.7983333,-87.6875,,,,embarrass-station.xlsx
USGS-IL_EPA-BEB-04,BRUSHY CREEK,38.7972222,-87.688611,,,,embarrass-station.xlsx
USGS-IL_EPA-BEBB-01,SUGAR CREEK-SOUTH,38.8664444,-87.684861,,,,embarrass-station.xlsx
USGS-IL_EPA-BEBZ-11,U-TRIB SW FLATROCK,38.897,-87.670833,,,,embarrass-station.xlsx
USGS-IL_EPA-BEBZ-12,U-TRIB SW FLATROCK,38.9038889,-87.684583,,,,embarrass-station.xlsx
USGS-IL_EPA-BEC-01,HONEY CREEK,38.9016667,-87.806666,,,,embarrass-station.xlsx
USGS-IL_EPA-BED-01,BIG CREEK,38.91621,-87.88361,,,,embarrass-station.xlsx
USGS-IL_EPA-BED-02,BIG CREEK,38.9452778,-87.881388,,,,embarrass-station.xlsx
USGS-IL_EPA-BED-03,BIG CREEK,39.0491667,-87.826111,,,,embarrass-station.xlsx
USGS-IL_EPA-BED-04,BIG CREEK,38.9308389,-87.881919,,,,embarrass-station.xlsx
USGS-IL_EPA-BEDA-01,LITTLE CREEK,38.93674,-87.87029,,,,embarrass-station.xlsx
USGS-IL_EPA-BEDB-01,DOGWOOD CREEK,38.97495,-87.8803,,,,embarrass-station.xlsx
USGS-IL_EPA-BEE-01,CALF KILLER CREEK,38.83321,-87.96496,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-01,N FK EMBARRAS RIVER,38.92381,-87.98698,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-02,N FK EMBARRAS RIVER,39.26453,-87.90773,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-03,N FK EMBARRAS RIVER,39.01023,-87.9466,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-04,N FK EMBARRAS RIVER,39.14417,-87.95401,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-05,N FK EMBARRAS RIVER,39.00017,-87.9448,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-06,N FK EMBARRAS RIVER,39.1144444,-87.975555,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-07,N FK EMBARRAS RIVER,38.9602778,-87.981388,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-08,N FK EMBARRAS RIVER,39.3513889,-87.902777,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-09,N FK EMBARRAS RIVER,39.4569444,-87.9475,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-10,N FK EMBARRAS RIVER,39.3388889,-87.897777,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-11,N FK EMBARRAS RIVER,39.35,-87.901944,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-12,N FK EMBARRAS RIVER,39.1638889,-87.943055,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-13,N FK EMBARRAS RIVER,39.2391667,-87.928333,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-14,N FK EMBARRAS RIVER,39.1141667,-87.975277,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-15,N FK EMBARRAS RIVER,38.9602778,-87.981388,,,,embarrass-station.xlsx
USGS-IL_EPA-BEF-16,N FK EMBARRAS RIVER,39.2148611,-87.931388,,,,embarrass-station.xlsx
USGS-IL_EPA-BEFA-01,WILLOW CREEK,39.26112,-87.87819,,,,embarrass-station.xlsx
USGS-IL_EPA-BEFA-02,WILLOW CREEK,39.03174,-87.93625,,,,embarrass-station.xlsx
USGS-IL_EPA-BEFA-03,WILLOW CREEK,39.145,-87.903333,,,,embarrass-station.xlsx
USGS-IL_EPA-BEFAA-01,LITTLE WILLOW,39.2619444,-87.878055,,,,embarrass-station.xlsx
USGS-IL_EPA-BEFAB-01,MUDDY CREEK,39.06455,-87.9101,,,,embarrass-station.xlsx
USGS-IL_EPA-BEFAB-02,MUDDY CREEK,39.086,-87.900138,,,,embarrass-station.xlsx
USGS-IL_EPA-BEG-01,CROOKED CREEK,38.98528,-88.07517,,,,embarrass-station.xlsx
USGS-IL_EPA-BEG-02,CROOKED CREEK,38.9961111,-88.090555,,,,embarrass-station.xlsx
USGS-IL_EPA-BEI-01,RANGE CREEK,39.1794444,-88.163333,,,,embarrass-station.xlsx
USGS-IL_EPA-BEJ-01,MUDDY CREEK-NORTH,39.18253,-88.24729,,,,embarrass-station.xlsx
USGS-IL_EPA-BEJ-02,MUDDY CREEK-NORTH,39.32367,-88.25418,,,,embarrass-station.xlsx
USGS-IL_EPA-BEJ-03,MUDDY CREEK-NORTH,39.20521,-88.29403,,,,embarrass-station.xlsx
USGS-IL_EPA-BEJ-04,MUDDY CREEK-NORTH,39.3455556,-88.267222,,,,embarrass-station.xlsx
USGS-IL_EPA-BEJ-05,MUDDY CREEK-NORTH,39.2297222,-88.326111,,,,embarrass-station.xlsx
USGS-IL_EPA-BEJC-01,COTTONWOOD CREEK,39.21143,-88.25995,,,,embarrass-station.xlsx
USGS-IL_EPA-BEJE-01,SPRINGPOINT CREEK,39.20834,-88.33589,,,,embarrass-station.xlsx
USGS-IL_EPA-BEJEA-01,SPRINGPOINT CREEK TRIB,39.19307,-88.42049,,,,embarrass-station.xlsx
USGS-IL_EPA-BEJF-01,MULE CREEK,39.24755,-88.34971,,,,embarrass-station.xlsx
USGS-IL_EPA-BEJH-01,BEAR CREEK,39.28721,-88.27617,,,,embarrass-station.xlsx
USGS-IL_EPA-BEL-01,HURRICANE CREEK,39.30726,-88.13906,,,,embarrass-station.xlsx
USGS-IL_EPA-BEL-02,HURRICANE CREEK,39.3325,-88.120833,,,,embarrass-station.xlsx
USGS-IL_EPA-BEL-03,HURRICANE CREEK,39.3767361,-88.083055,,,,embarrass-station.xlsx
USGS-IL_EPA-BEN-01,KICKAPOO CREEK,39.46252,-88.19315,,,,embarrass-station.xlsx
USGS-IL_EPA-BEN-02,KICKAPOO CREEK,39.465,-88.23,,,,embarrass-station.xlsx
USGS-IL_EPA-BEN-CH-C4,KICKAPOO CREEK,39.46265,-88.193233,,,,embarrass-station.xlsx
USGS-IL_EPA-BEN-MT-A1,KICKAPOO CREEK,39.4737555,-88.360233,,,,embarrass-station.xlsx
USGS-IL_EPA-BEN-MT-C1,KICKAPOO CREEK,39.4715222,-88.35335,,,,embarrass-station.xlsx
USGS-IL_EPA-BEN-MT-C2,KICKAPOO CREEK,39.4699666,-88.345583,,,,embarrass-station.xlsx
USGS-IL_EPA-BEN-MT-C2A,KICKAPOO CREEK,39.4652083,-88.336425,,,,embarrass-station.xlsx
USGS-IL_EPA-BEN-MT-C3,KICKAPOO CREEK,39.46265,-88.30848,,,,embarrass-station.xlsx
USGS-IL_EPA-BEN-MT-C4,KICKAPOO CREEK,39.4647166,-88.275997,,,,embarrass-station.xlsx
USGS-IL_EPA-BEN-MT-C5,KICKAPOO CREEK,39.4687583,-88.248172,,,,embarrass-station.xlsx
USGS-IL_EPA-BEN-MT-E1,KICKAPOO CREEK,39.4719611,-88.355622,,,,embarrass-station.xlsx
USGS-IL_EPA-BENA-01,RILEY CREEK,39.47619,-88.20609,,,,embarrass-station.xlsx
USGS-IL_EPA-BENA-02,RILEY CREEK,39.5105556,-88.29,,,,embarrass-station.xlsx
USGS-IL_EPA-BENA-03,RILEY CREEK,39.4866667,-88.209722,,,,embarrass-station.xlsx
USGS-IL_EPA-BENA-CH-C3,RILEY CREEK,39.4762027,-88.206305,,,,embarrass-station.xlsx
USGS-IL_EPA-BENA-CH-D1,RILEY CREEK,39.4868138,-88.210577,,,,embarrass-station.xlsx
USGS-IL_EPA-BENAZ-CH-A1,CASSEL CREEK,39.4985333,-88.205433,,,,embarrass-station.xlsx
USGS-IL_EPA-BENAZ-CH-C1,CASSEL CREEK,39.4935611,-88.206963,,,,embarrass-station.xlsx
USGS-IL_EPA-BENAZ-CH-C2,CASSEL CREEK,39.4883972,-88.20938,,,,embarrass-station.xlsx
USGS-IL_EPA-BENAZ-CH-E1,CASSEL CREEK,39.4946,-88.206494,,,,embarrass-station.xlsx
USGS-IL_EPA-BENC-01,RILEY-CASSELL CREEK,39.48776,-88.2094,,,,embarrass-station.xlsx
USGS-IL_EPA-BEO-01,POLECAT CREEK,39.50559,-88.07242,,,,embarrass-station.xlsx
USGS-IL_EPA-BEP-01,LITTLE EMBARRAS R,39.59618,-88.04461,,,,embarrass-station.xlsx
USGS-IL_EPA-BEP-02,LITTLE EMBARRAS R,39.6158333,-88.026111,,,,embarrass-station.xlsx
USGS-IL_EPA-BEPD-01,CATFISH CREEK,39.67304,-87.9268,,,,embarrass-station.xlsx
USGS-IL_EPA-BEPG-01,CATFISH-DITCH NO 7,39.65115,-87.83433,,,,embarrass-station.xlsx
USGS-IL_EPA-BEPH-01,HICKORY GROVE CREEK,39.65652,-87.89131,,,,embarrass-station.xlsx
USGS-IL_EPA-BEPH-02,HICKORY GROVE CREEK,39.6469444,-87.881111,,,,embarrass-station.xlsx
USGS-IL_EPA-BEQ-01,GREASY CREEK,39.63773,-88.08483,,,,embarrass-station.xlsx
USGS-IL_EPA-BER-01,SCATTERING FORK,39.74257,-88.17624,,,,embarrass-station.xlsx
USGS-IL_EPA-BER-02,SCATTERING FORK,39.7511111,-88.231944,,,,embarrass-station.xlsx
USGS-IL_EPA-BER-03,SCATTERING FORK,39.7511111,-88.231944,,,,embarrass-station.xlsx
USGS-IL_EPA-BERB-01,HACKETT BRANCH,39.76806,-88.24236,,,,embarrass-station.xlsx
USGS-IL_EPA-BERB-TO-A1,HACKETT BRANCH,39.9811111,-88.256388,,,,embarrass-station.xlsx
USGS-IL_EPA-BERB-TO-C1,HACKETT BRANCH,39.9669444,-88.253055,,,,embarrass-station.xlsx
USGS-IL_EPA-BERB-TO-C1A,HACKETT BRANCH,39.9769444,-88.256111,,,,embarrass-station.xlsx
USGS-IL_EPA-BERB-TO-C2,HACKETT BRANCH,39.9372222,-88.257777,,,,embarrass-station.xlsx
USGS-IL_EPA-BERB-TO-E1,HACKETT BRANCH,39.9775,-88.256388,,,,embarrass-station.xlsx
USGS-IL_EPA-BERC-01,HAYES BR DRAIN DTCH,39.79159,-88.25243,,,,embarrass-station.xlsx
USGS-IL_EPA-BERC-T-C2,HAYES BR DRAIN DTCH,39.79167,-88.252503,,,,embarrass-station.xlsx
USGS-IL_EPA-BERC-T-D1,HAYES BR DRAIN DTCH,39.805559,-88.272781,,,,embarrass-station.xlsx
USGS-IL_EPA-BERCA-T-C1,U-TRIB HAYES BR DR DTCH,39.805559,-88.264448,,,,embarrass-station.xlsx
USGS-IL_EPA-BERCA-T-E1,U-TRIB HAYES BR DR DTCH,39.807504,-88.263338,,,,embarrass-station.xlsx
USGS-IL_EPA-BERD-01,SPOIL BANK TRIB,39.73888,-88.24167,,,,embarrass-station.xlsx
USGS-IL_EPA-BERY-CB-D1,TUSCOLA #5 DRAINAGE DITCH,39.7696611,-88.296266,,,,embarrass-station.xlsx
USGS-IL_EPA-BERZ-CB-C1,TUSCOLA #4 DRAINAGE DITCH,39.7825416,-88.297975,,,,embarrass-station.xlsx
USGS-IL_EPA-BERZ-CB-C1A,TUSCOLA #4 DRAINAGE DITCH,39.7824777,-88.294072,,,,embarrass-station.xlsx
USGS-IL_EPA-BERZ-CB-C2,TUSCOLA #4 DRAINAGE DITCH,39.7777277,-88.283325,,,,embarrass-station.xlsx
USGS-IL_EPA-BERZ-CB-E1,TUSCOLA #4 DRAINAGE DITCH,39.7825944,-88.299077,,,,embarrass-station.xlsx
USGS-IL_EPA-BES-01,JORDAN SLOUGH,39.87477,-88.15091,,,,embarrass-station.xlsx
USGS-IL_EPA-BET-01,EAST BRANCH,39.89404,-88.17948,,,,embarrass-station.xlsx
USGS-IL_EPA-BEV-01,WALNUT POINT CREEK,39.693337,-88.035004,,,,embarrass-station.xlsx
